"date","time","time_zone","format","text","notes","favorite","date_utc","time_utc","metadata"
"2023-08-11","22:43:04","Horário Padrão de Brasília","QR Code","35230717115090000169590006245706736134439285|20230728214705|15.04||6NHUgrW4MQaCM/QaL66LB1O5gh4OMp5ff7efbEOJY0eJV5VLz5CNQFERbBJBJvbX27uMyKHov5tYzVN65rC87hvdSP9KV31QMtvvIebtPtIwK8SC4IyaCt+IonQ/Z9wtj31gcyk3oduG9RbTS08XRji12QKJeY0+4eE7JXnUh4zUxZiCbwGZI7HbONrc0WUOD/GNkrTBS5RhKmOGE4FMevJGNMRJB1QQz2ayfI3v/6fdoLza1ksWVsunfQ8H0xUowzMBq333LoEfiw+FS/UpGTFxHim+4K72sKEKnffEivZDfB+kW3kwEd0B6A04uTjdPWq/oj8JxBfW0HHSbVBndw==","","0","2023-08-12","01:43:04",""
"2023-08-11","22:43:09","Horário Padrão de Brasília","QR Code","35230717115090000169590006245706736118683045|20230728214123|3.50||2T9DHoMrHKyAwsd/v/U3YUumz4acYpX7EQ/gD23ft/I4Gb/MCgdZA+1A3PNB3i5vOGzMALJ2bETsbDzP67E6pd+5QXBLra9IrdS9m3GmN9qtZXCPpzAtUyVTC3AbIdnJIg0I8zIRGPK1YAX8m1poEIYF5i1VvEcuD1sG0GmEoNK8+hjMAFQsk9ikSbOW5sjn0ZqQ8fVbmx1XQHlGzHCkPG5ywNANbSa2FKHfZOAos22P0o/4Ds+zX+K7ecqHQJvpS3HllClRuCwhi3NvIwxrFCpP59/rcG9mQv1qx7a2r6pwWVyGc4wzwMqWVQrjUw3CuWdr3YyMmR1spDnpqgGb9w==","","0","2023-08-12","01:43:09",""
"2023-08-11","22:43:15","Horário Padrão de Brasília","QR Code","35230717115090000169590006245706736104077431|20230728214008|33.40||Kam2v74UelHdzl7WhEhwBaIbMPD60tHdGINAU0w48sozHoDl6GosyTZy2zKbG7fMI+3Yli6siELTuP3/1BfJyeQeeMOP2JsCqr1tEp2H6OkUEreedZdj17TpwoGwI8Hdnm+zZN1S9eR5oUGpgm+XU8mKIHkunOvvXJuo9p4Gsc0wqIEl4tpD+zqKqMiCt5toFCsU1duwfDdtGFlI0k8Wn0QmQF7heiOiZrnCvZTEN9D+3aVL1JnM5/U/hGph6MSgYr+WUU39UMBtf9rvaQqI+NyaDGoerR8ja8lAzmVsQrqxg0l+4aX/ZpQvLEtzNypGu9LVWvo6d10C+sS3Pa7aEQ==","","0","2023-08-12","01:43:15","{""ec"":""L""}"
"2023-08-11","22:43:21","Horário Padrão de Brasília","QR Code","35230717115090000169590006245706736093826697|20230728213903|0.50||EZalJHH176DZjjdnf+PCCZ4GlM6sXrmd340CqVU4Oq85SHpjrk4+DRHXLSwJ7iML04+nSWHADR/HkulVbyydxA4QRdW4mvbSD3Fh3CD1QllJz6lB1DKkzCsIr99SYY0dN0uEt/WbElYn3A6BQ83Y98mcovmis/XjZvfLKOHjow5PvsL2Y9d9f+vu72GsLmLE/tlhyu4YibfR9qUX3UlbVorji9YpvFFTIT045WfB1tEkd1CD/JfTnuLgd7LY8YBYNJbu2R/dXQpW3HtFh+BR1T4sYXtOksSTJufGiJKJUrZ2kowH2pmDQ1+BZFgzRP/+Vtffm1DCSTqd01aRi3i/Dg==","","0","2023-08-12","01:43:21",""
"2023-08-11","22:43:28","Horário Padrão de Brasília","QR Code","35230717115090000169590006245706736082479885|20230728213511|7.10||wXDgw54V8vKPA6U4v6vZS0EoxJEGN/mn7wKsZEZIe4j4nsF5DpfGmme4od4V4w1WimkPErZ7LSmair+eqtRGIaRf+GJCLYWuCepHN2g6T9YQ/4zqOefM8HDujuEOqnXyaUOg8pfkVkxgIoJnZFH1+FYvxp3ExCv+eG5cBhSrR8+yIq2Z7VhcMSnXPYCdsI+959PZaIQ59w+HOKxZFDqmQQ0WqJCie55a6swBkBVhRIfkTMDwq6iffLarj+TreYllUDUoOpuLCmhcsg0MNHmD6mAkcxvMQcs0Yvb2cAZno6CdAmPrNsI61mEiT+wzYexZz9tElPVKxhfVbqmejTgv+w==","","0","2023-08-12","01:43:28",""
"2023-08-11","22:43:35","Horário Padrão de Brasília","QR Code","35230717115090000169590006245706736071210553|20230728213208|40.00||nYPVj1en/9kueOxIt/YVkc064sbMtCRhvgmgan9H+p4NSNNU7Lqe47dkpEyDhYL2EeoHQLzsrykDORGgFguFy+Z7vp/P5IXXTzUStDFWWzWdNorxWQij11kEjsOGxLwiNfcT3Xu3RjWtP5aKJot5BZGkvYpwMPnppdTq1PqBBjK3h/bmgPKqVYOgpQGN72N4/T+TAwXTYxt58jXMW7hGUTbH1AYPn4jl3qPF+tTBaqOIkWjZqvLlRWxy5CzurJInCuHP+orW9UIiAYjcegpexStgaUXTA9+KB+NWCyqesDhzZ1Nxv1/hJ0niIZQxtR1dQx5fxMBJB9+EDjoMuzBfSQ==","","0","2023-08-12","01:43:35",""
"2023-08-11","22:43:40","Horário Padrão de Brasília","QR Code","35230717115090000169590006245706736015750980|20230728210754|20.00||esjNNw1Do+2s35VhVs7vmMDuRl0aAfAoAgCy5Y2w5YCXDZ9gbcps4kkq2ZRpp2uaD1+qeVAsfeR7GcKU+8YV66Uqqg8iv5DkzHBhXYoclfmxX0u11njAdt9F6MWRl9DDqj+VDZeo2gE9uT93wUSPXlRUBPU5iM8RyQjl/APB7gbPoBl6Tt8C00zKA2Ngb0ml/aeWzWVSLZE38K4GpdnSfktxO64ETSBEtEgf3HcDgnSgmdroy0kWsh7rAYP4xlhrSy6sA1Ipy6bCkBvAr2me8b/rB+Sjy716sPHg3i/ZYzsrzFnxZWe6Fsu5WLI6PD3+47j7TQpnOtCgH60N2duyMw==","","0","2023-08-12","01:43:40","{""ec"":""L""}"
"2023-08-11","22:43:45","Horário Padrão de Brasília","QR Code","35230717115090000169590006245706735996272453|20230728205054|15.00||iUuBkDUx6Ekujn00EBaA1J0+rcAbZ5vfgYgiRdmnxkt8FTvLo8s2jIjv9g6L9cSSUKzpZiFqgVAxSRvriph99AqwHowXTHjRyQ+Ure2/QxJhOm/zHjPTN8165s/97oLE0kq30h6xQbgR7TtNNI2pxMIAS4EkVnLmWzlpHCntuSxhQUn5SfhfgiM4PSeMS6RdB42x0yBENBWsqDfu1w+TQxuHd8eXwURZBMZfvCm+x8G5+Ir9f5QBPD1P70fMztxU6zC7aUoAZ2MfVrYs8PHCvdmca7L0YAvoM3OJ6KC9m5qOxBunOyZG5V6WT9IBT3Ni+m8L1YzwZcpKeJwB2ERFqw==","","0","2023-08-12","01:43:45",""
"2023-08-11","22:43:50","Horário Padrão de Brasília","QR Code","35230717115090000169590006245706735961620706|20230728202351|40.01||NvCsqcNpfsVkNT8Mh1fAQgK0XyelWOrqZ8FnD2Aep5aafEUhPgCy5fJtIjL74OmhkQnRdXWLX35tqzrmMEYJRZMjDPOlM7T0/PK5uIF7wo61fJLTHSazVs8tLHjXazeS+7q0r5cbpsACDESvj5K7KkMcGy3sJFd69R/Kx/DhyQNT7OFRz6wwQWyOndQX2DeuUdAfwj8hPI34YifrxUIYnjBC2DVT9K6XuiepdmwD68y0X6kAclKuUNQ5y1AFAqVw5F8GTIyhDmjqHrVhHs+8MSebF+rT6PmpzrrijBNSHDcsLi4k1FKLOnTSJvYrl4mZx+Uop+CAhgydYCtrW1THxQ==","","0","2023-08-12","01:43:50","{""ec"":""L""}"
"2023-08-11","22:43:58","Horário Padrão de Brasília","QR Code","35230717115090000169590006245706735942319400|20230728201807|35.42||KZFGNTpWV1b/M+uX0iTa8J7SB/SK1GBmelpkkTOkO5XI4Mou9DXVvJMIfRrCwkwBJpQ7UZy3qUVtCkxKUGCjtEad8qpA+LqqDCfmYtYxMPwQm38tvoysbcn/4QMDxmRGuwFdK/KtWy2l/pgooQuzR92rd8Ns0PdCMSm/YQvhgJeGZ2zzMMxpaMQ5DP9C4bFABb1vQ5rePyDXQexMOxZ4+BHYmxOIOzyh66qHIz+uJb2fvUGr5DHE90FtF+FGL5t8pXtqREazQbloakaGkYOTXKo8idN4jxCwxS5bEgc/I5KJAaDBG6Pnoa2cV64GLY9jK4qhXtdNYe2Bm7zHZ4LSIQ==","","0","2023-08-12","01:43:58",""
