"date","time","time_zone","format","text","notes","favorite","date_utc","time_utc","metadata"
"2023-08-11","22:03:43","Horário Padrão de Brasília","QR Code","35230817115090000169590006245706767172117161|20230805214915|72.18||15VAQC0FQted2Vzurs1oRZ5f+iN3jMP8n3vJwO+cpi3rnL1rAyWnx2m4XT+cv6+kk3v+W0gg3msQpfm/51SnVPv1+sHkTW9sGMTj77FYhBsdtalzhGry2kzF5vCiQUmEKO7H4xq0jYArne6hcYzdPiV+uwLWm/2bLU/HTbou6yT2HUuhc2kSoSNEtgMbL52U3t+AA/iba5lLkMRcdOGKn3hxZYDiWmf0XqrJbJjyeb689wkrD39kYfs5Px5fu/ef7Sw0/dlsKOLhHNEcWCcU5RuvHx+6ik2puEnGaUx74CgQfRPRUNzJPVbCKzcho0q9ZztoOVeEFyDunqk6wPstCw==","","0","2023-08-12","01:03:43",""
"2023-08-11","22:03:50","Horário Padrão de Brasília","QR Code","35230817115090000169590006245706767153463513|20230805213912|20.00||IhrTrX2okcZ5uFlyJyxW4gOeX+86wWsPgva933AyK1VNmeUWXnAu/CFxGgtZnNUSywPEXXHy8E+uyCx0FvKhC2ioxaE5DGxQgG+nEPl2qPIiJ7Q+lEChU2vTi3MDjdJvL8J0nn8rtBZcx/WTDVYo9LlbLULGqqc1RK8yLsLFpSal2v/saE2E4WsnOrlGDUbdG3reqwDDRPk5+BSDAAuA3mLHn7OkE7mv2MDcNagHpGrKkg1h37EHZghgygkHrvNFPK8JfYRcbnxMH967xyafVfRrMPiU31XmF6WzeniEeTTjdBC/aKult3R3zMuoPX/U6DVV1oZeSYmvafzksAXzAA==","","0","2023-08-12","01:03:50","{""ec"":""L""}"
"2023-08-11","22:03:57","Horário Padrão de Brasília","QR Code","35230817115090000169590006245706767142946020|20230805213812|26.25||Qo8RO9db/DDprD2z0iAiB1kOlW2dgx+3fwd4DYxlGHOh5rD7Iu5Scjgba5Jpgap/c13g2le9zF66rhZmj7i8Eo/V01QIVgXpGHJFLDttwuMOdYO0R6cdQwjn5l75aa3j0y3EwET9kcUkqARVsZBDHGWoCzEupTfRcM2I2IqIYcoOa1rXADV9GoMDdDn+oPG/mCWlQGVqHO5XaCQLaqMq0V1hfGrSjIjYFeqX2OWPSL5Tmsom5S2WJmM7gl5CSPimUABsxtn+hH/du+T8OMWMz/Ivl8Wqt0JUy15LokZusnwdtYvXO1Tu5Sy+dB2Z/H+NAQN/stdgYZRbvUXdUVIXIg==","","0","2023-08-12","01:03:57","{""ec"":""L""}"
"2023-08-11","22:04:03","Horário Padrão de Brasília","QR Code","35230817115090000169590006245706765459264007|20230805140045|50.00||PpFNfw/RCqH8rAAUy5bv2B4D2bqdHY5muzG16LBtj8Gh/YhAELdDUTKAwOWC2k4gEsOe2kU9IlZYHgY1jdnKtdfPWIYlmSHox8EiY1+4kRAaVhHuWhPmJQmqOwrNBUkxK2XU2ml3LwvFd3xt0skfG4mxAPQNVpb4dZ47eKxAm/KT3QysPDuIId29XHQIRvEplB/cqcfUAOT7orGzVTMLTumghMEiJqRxvk4e3HZXUgKjjlxpzSymPMpM8WIOX0MRt1q+wlmuXJQJQU7zCNM2Jgq8IPUKgGs+qF70ystT0hVpIfoH/pGNEb/8kYfdSuLe6cjo6YPUeCUQ2iQlOTgGcA==","","0","2023-08-12","01:04:03","{""ec"":""L""}"
"2023-08-11","22:04:12","Horário Padrão de Brasília","QR Code","35230817115090000169590006245706765440616340|20230805140001|10.75||P21+tGjBJiMZc1oYW19AFoA8SboXiaoTGNEKAkLvWUzbxb9kXjVLPiPMBPdX/zPJQHxlO9Zti2uUD8TttwrJRcRJ8US0J9PigfhBOawkgWUj/RARZx3qU3+rhSolmqNPC/7nuLMw6i3K8zq0YBXwtQT2bX6v6+rKoIk9aFYSXD/NFohau32HtkmNh2pF/zLxa4euNG8x8667IdC+Xl/oITF3aAydsjumNCbPTRjyGbmE7Xh/s+4hDa0ptSZbrXD6EvMdmuvcrWrRjaL+HDJpERmdT4cY86PSVK3L22pOYWFufbYXTfv9B1VrsVmCQbWwYYUlUQCpGUbsLh9Tn8ynVw==","","0","2023-08-12","01:04:12",""
"2023-08-11","22:04:18","Horário Padrão de Brasília","QR Code","35230817115090000169590006245706767139252284|20230805212858|3.50||wTDhyB0w91H6dEESN7hRFJeVbfCJIMR9tcw+CBYhpU7bDd7viGMoJoTH+jPvPqNYUJ0eFwmj7/ACZEFaVP4ZVvapJPHZe1tt9gW4xAeWMv+BL9wh9Xu+GsOoctjCRUacpZzihNFr1a6jpWdHvhnVpPwrySZxzRgdPUdCjsg6cfur+EVBSNgi3TiXCtYZ0+gefymktdb+OCI42RgGE2UEmV/SDjy8lHQyFz7scu/CN7KkGdDaUTu8kGYAIs+vQAT8M/Wp/a59/cv0Y7KF81Hcbn4Hxl5AMi+18KKVNU5wIp5P0eY5s0urKTJ8Vm9tAGA0nFJkgTgRxjdatEtclMsBBg==","","0","2023-08-12","01:04:18",""
"2023-08-11","22:04:23","Horário Padrão de Brasília","QR Code","35230817115090000169590006245706767127308921|20230805212808|10.00||r/KyMGxNTFYGXIG1uo0k8RR046dpskZRsbX3hWUJut90AcdMxIa1iX8lEXbEDWk4hc3Pk0BqsvcgEmzcX2dK14NyKkwMuY/+R7G1IyjjlZBoQVwVrh6fVhmkon/KzPX76T09Q3xYfAM9olYBR3RBJ6HMNqBJLWbdJuDz0tFNUEbBukCw3Mrlvu3wvugYl+oM4ZgPMsu8xhnjhdokH9OOGsBmgHfVaA5i7mHSowkdJIbENT2P4xm31Xy6U9WU7h8QHHvbSktG97sipZ0ox5RE1ib+M1saVrvuut0qQnXBVD2DRoAphNKGyDWmRsHT7cGJpH5UD/PehZ6sbDereE6aKw==","","0","2023-08-12","01:04:23","{""ec"":""L""}"
"2023-08-11","22:04:30","Horário Padrão de Brasília","QR Code","35230817115090000169590006245706767118340206|20230805212713|20.00||nzYk/GQZO5l0PgvE6GI/dUPxttcWjWvsqXqNXAQLTuCwCXYar8fu26Dxd2SdYUMCVx4FGq3lCqWRKGFoAaP4pToI9NUCgcaf6m7YK//qAwHJG9U/SXEUi2zY7WfR1/4VQFG41BZaVERL9iQckGvlvz4NlT+XG+tlSF6pCUE/QCdauuK7YABzA6Ct8jMsmHo0svhoYmbSd1gNg5i6HCrH7szPQs6x5BNcABC5bW4vyQQ3XhBvHxCy0YUMKLPrO54hEMCuTd3gC5FtTRBTgTK5M7qLbGui/f30H6PxeUCf+JxOThWy15F+8VTB+CWLcYNL4XvR/pGm459eGFH+EQiRrQ==","","0","2023-08-12","01:04:30","{""ec"":""L""}"
"2023-08-11","22:04:44","Horário Padrão de Brasília","QR Code","35230817115090000169590006245706767083931297|20230805212002|100.11||z2tkiEOy5/2P3KEg/DpGxpQ0go4P4fYcWb4qrk5U0uWQmfpsENeVqJnWLUerZqTAabNcDViLNM9nlx2NkFp4/cmPHVFOTDDwmRb7kvTCHASoL++ro0UMvA5Y5dcbJ09BaKIIwiXzSOBKrkjKHvKKhdWUIb4Tkc2JWi4tUYCg4v2CHQTN5yCaQNQCC1lmlmUKcrLvrZmRecEDEhSQ8D730m5OvjxUibHfUnfRfHs8eu9EUIlT2ztO9qyQDy4s5Fdvzm4Sz/TnV3e/avECgU7gyf3wXYBswchZ7E3rg1tjBH3hhAHr9YBCdzWLrmq1xqWIkJW25b9G1zKOx+lcVlPMFA==","","0","2023-08-12","01:04:44",""
"2023-08-11","22:04:50","Horário Padrão de Brasília","QR Code","35230817115090000169590006245706767068445883|20230805211200|10.01||qYCq5VyeRot0o7ALhv70bEUUgZKCeeCxm5cJT/5DcLA4+5jfSwcYTNVy3ug5vCs6UJWIIu6C+F9bKbyeZqFlwl9fjE/fGW4gEEPzAMWJt63nxiKEMo5bQDoMHJmHG2AF9Wu4wzAVj7w+bdt+/XMh0C9QeHXTBZY/CezTc8xMg2gi0/RXGRnop2HtgvKapuHxRSktNlf/9hpv7C38K8XYm2ON/W3zAlpVXVC+LQtjFEwiO320xp9SjxmmvR1tvNRfNbF3RzAhuF4Uub9+YI2Gorh4Vw4DGz6Ol61KHJ+F5UT/DTdhj10Fc/oj9/+q2j6uxQheR/HcOpIkjUzvxvuXAA==","","0","2023-08-12","01:04:50",""
"2023-08-11","22:04:58","Horário Padrão de Brasília","QR Code","35230817115090000169590006245706767054999580|20230805210947|50.00||16hCHggyZBr1iiey46EzpTV1GXLoi71OoNgo5tQcjjrw40/35elx8qZQ7z6jPiLIyWrEz5kqaLris32dQXJc8oqwQlJhA9FJlX0a40yErk6+LXWYxAQ9wpf3WCJ3DQgnRqLsSzkKx7lf1Oq9YjI/PpLlhdgFzo8cJlz7NlplXy5AeZToQOpZcZYdxXrzsFUzyl8FHiZBhg+iG/MZnzz77huxBP0UuuZDydHz8cnBuUGgIWOQoFG/tSbpSt7eTSKZbpAKwB1nL2QyYZcWF4BVCSpXhIeKzWLZ/q6b5G8EFnYEUPlGuSJ6nLpa/k6/9rSnUicvibUULXESTF9kmD1lPg==","","0","2023-08-12","01:04:58","{""ec"":""L""}"
"2023-08-11","22:05:02","Horário Padrão de Brasília","QR Code","35230817115090000169590006245706767044899205|20230805210922|50.03||bEVc25+eBSCoODBNDBvBIfAVSMe+5agxey2mHTbF94nGq/kcE9HISMd4qKpsnMi8+hxl/V1IbgJ1L1Yyw8kflOc88qgmHszF2nnuQq96eLqdtyHs58LszKZfJoCC30WgfH/cQ2JqCMVoXpSHNkVF3A6QIjl0NEVO1S4gHhVciUr1vaQwsryh5LUHH2qrR/1wsP7Wanf7SxgZ7r90bJG3dc/p8axjXbU0NJ0FBip4upoSjgeKgygmOr7azN/b4RTUanRHWZPeUWZb7iE9F1PKIDp84qW/dy+PPxlSMdjyi0tgBFItqUaUiMrqQloUELxauHkRwnlyOaDGGkd4cNb+qA==","","0","2023-08-12","01:05:02","{""ec"":""L""}"
"2023-08-11","22:05:09","Horário Padrão de Brasília","QR Code","35230817115090000169590006245706767030620513|20230805210247|25.00||O4zNije1ZQJ7mAS4jpl7cBpJOchCDbdCxey11YnVPwmsUg52vZZxijM2TQPSm0wH8NOVoO0UKaABVUqwv2yznTlbdo2NwXh+hjrdnlYf/zWLyY6Pkr1FSMlPabDyyqkpLIdvXaOU4QINBrMzUTP6i4V5lhiFkKPoLueoSK+swpbzuoDP+exIw5p1Ig2FydqntfHaa6v3QUKxiYUUJXQkY9KvdVsXZEAelShVjjSPyhjCdOY6795HtCQTThFZEs5zXcYE5e6E2XaRV8Imh+4hIk77uozEw0iw5U4fR7m2t2RVDK7xT3VjXSMU9QFeb1jdFQZ2j1/jyGr6Tmvpkj++Jw==","","0","2023-08-12","01:05:09","{""ec"":""L""}"
"2023-08-11","22:05:15","Horário Padrão de Brasília","QR Code","35230817115090000169590006245706767027345000|20230805210118|4.00||ZmCWdodlZDWoN8pwf3pSeVmoHLL47s+1vejFvkyvv94oe+URwvKaduUaWKix9I+PQ58rLKFg33WVPuckaN7F1jrkYKqmV6x5PoWQ1kq6k2M7wqOMYP3dumlq0V0KvD52lahwDCC5ztUOGScb3VAhIYPiHUinE6GEan29qnnWDCNkPAhvNuj3yAF/65H48n67hnBO1150sLTIQcfYvTgW0tqpVj0tqmWNMH5U2Ec18ZAMKxz2rmQfOnvtAd9z3CJj9HNt3nyXGG9E95t5Caa0jbS/kMnEs6T+0RQ7Yp0ulhX2otB7ThpPtmX/Phh6QAkqFoa6vU+HoSilouyk4Q4KUA==","","0","2023-08-12","01:05:15","{""ec"":""L""}"
"2023-08-11","22:05:24","Horário Padrão de Brasília","QR Code","35230817115090000169590006245706767018572717|20230805210051|5.00||zrP2zaeRoK6r2Obs09CW27QwF8rSFyoZOPczvFQw9k+wfgZvS1wKSUR0aj4hRhE6OiKYwkGdVuPG7CXFaP9AsuS+ccpgANpU/gfoZFSLmMCx2BOXELw9e2EcjM4dgBTaC42vD8YcC8rYGzH4CG6vqtklG0K4gW31gqIW1hjGyS9hLzaqgabbJkd53NfKBX220ginQNVawJorT/0/IDneD/2iD3FbJwXAJibHl1umLzzTBmOuoaFZzLe3uLgNOCQcw2uUfDHId/ctqHWfH86yDNMq2tyjtGmG7uLkudPP3jUkxJyyFZJ4cGTFoUYHwZeO3QJITxsvp9VVuFWEUXE6Ig==","","0","2023-08-12","01:05:24","{""ec"":""L""}"
