"date","time","time_zone","format","text","notes","favorite","date_utc","time_utc","metadata"
"2023-08-15","01:53:19","Horário Padrão de Brasília","QR Code","35230817604918000142590006584111300825732469|20230811142145|17.40||p0T9+hX0Q44vb6aWCz6NUJe1lQv0bbFsq8RK5xsSIE+EXFwNUEkTiH0swnA9ykNcagXWLF/4FdIhCR3ezaqXPFyiCiRFac36nshFANQp1YEtw1EdG3ruHT/fOyL9hSgpJDFXBP+VvT1QyUeu+2AaiWulZtxKnbZTtJOi3iE03in1DRIw+BhVlm6xCE1ov3OP2SHwc9LCTgmQrrwIB+oZIkNSQoJQ3pQeDRJa0NyO/eP64bRzoz+uBVEUtENLt4wI8hn+oMDiZuPyZ2hFUO6KMn+GXbFMX1WH/A1lGsz1/5HJRQUKv4Wow2gH5XtTia5gX7NoWkRnZ0/wbRRAfC2KDQ==","","0","2023-08-15","04:53:19","{""ec"":""M""}"
"2023-08-15","01:53:24","Horário Padrão de Brasília","QR Code","35230817604918000142590006584111300310659427|20230811085834|29.00||UuQ3hAXcfXs5emTcUrG/9UDtBxWmQskJyLjjJx4qr71Yh4hVnrk4krT8nrsOXL1nTb0boPvCTcQCXwUF7agOwQCUSMDcleO8mLA5hp6eNClWgt7ZXU2CseXqFIpu4+qWkCGHi2QEoW4M8jeLiL+QIeMPT74/fMQH8TLxgNURM9OS9qgMN5Q9GfOytBlUs5zExz6e2ZzlEjvylmhjP/tb8EESmcxKk8EvO7H1Wmvwx+S46y/PdAgF+qq6VWIleUUTjCaqIOO6i5H09V98u5EbnAfvkvXLv3QDaJW9H3UB0YCtZWW5LGbLyLz3zcuP+iU/Ju1DsNoK9JTZ3H06/KsFWA==","","0","2023-08-15","04:53:24","{""ec"":""M""}"
"2023-08-15","01:53:32","Horário Padrão de Brasília","QR Code","35230817604918000142590006584111300856442276|20230811150123|51.03||EbNeRzKyEf4MfqYq3HVIwbh4mhCCxmrR3+JwfuiL/bJ8+y2LkcTMIQVmZ7xYj43a8Ub5WGxby+QlpDU/NcoDexdO67fF2aHEn+/4Aht9++f7CT1sezFkEje+wgNADtBH+4sFWR7MgolrKCxnLZiAUobja63o8LOilJbIrN3BGnC8QYDAcj1cLVTLxY9EX8DxIC9g7tns5pDhw3yQ/EURvTHb2072KY3zP9HGd4l1pik1hsUW5iFIfjg5hhPuThSnmGZ8INiY8afhIOOPEpJIHkpDMhpyEtm7f2TQPv67PIeYO+NsQ7YGkH1ZdaMImKa9KRai/JXL4wwluEOdrSXrRQ==","","0","2023-08-15","04:53:32",""
"2023-08-15","01:53:40","Horário Padrão de Brasília","QR Code","35230817604918000142590006584111300809242541|20230811135556|12.00||qcZAbA55nlG46EPuhfm5cQGH+PMDI4g1NDss4T7AIHiEu4itUBLtYPlx8rYh68rzj6QOBBNtjHvIZ4sbIabFBWvfmwbrDN5qIK/Iw8j2LdjzhO+tLwXyWR0htOKGDYX822DYtgdv+jQ+K5wqvS1AC5U8RIkZY3glNjLw429v18vuNyQCvrJhnTdhMk79BmZF0eVfFdh3sFNRM4U3UG8OTt4XNVHl4W2kLklyn3cHfNDgdsSpy42FrUttIuD6FbqMBRRdjho9DslOqJL/2o9WgO+8sTVl0VDSdRebLBxpPm9PqGTIDo8NMG33aPJ5UsYR41wEwlfTKjsC9Zjda44DRg==","","0","2023-08-15","04:53:40","{""ec"":""M""}"
"2023-08-15","01:53:50","Horário Padrão de Brasília","QR Code","35230817604918000142590006584111300391420195|20230811094153|28.80||Tdyrn+LA9W8+8/KmsyjOMhzHhzGVznCAY5FT0itkh8W70oSXID6ALvX5CpLBZC1LYqvnRAFrrYs5awN7fDMA8Mt+xSTa4n7tb3Zx49WhQg3ujPkjfooCwi4AdCBl4gwtqnfxFpseFQAbi0dIo52iAbZew9N03aL3mMuTTDcpWcWqq5bfmA3xJh8ZbPPwRUfdhtry3VpeZw+a1FpqqQoIGlFfJVPcEQ3Ss/ivEJek4Qi/tiXF9+k4aZkwenw4ipoG1Es4wRnjQL0sTgrLUhDdqkgLrP1LsiwX1Vuaslngz3K2+HjkdSfk08lkLCf++/i4m5cz0KHaGbbUt431nFqABA==","","0","2023-08-15","04:53:50","{""ec"":""M""}"
"2023-08-15","01:53:57","Horário Padrão de Brasília","QR Code","35230817604918000142590006584111300415016321|20230811095133|5.10||TY8gLoVPvZusMvi45XNQMKp6fSHWtvytYbuZZkOiC8djvVgld/DGta4XvBU8LXhe/IEyZ7XBA7c2w9vXU7eFJZlH64zzre2Su4O99yuJzXEzkdlxg2039356KcgXbFu7l0rSztBN2q0sf4bYuYFlnHTSpw1ij/nwcbO7c+/sX9IVd9SevHIP5oKWdcW9tBGpiCPcOo37tmJuhNXMGcauIG8Mb3ESXMvWDZTPyuNXKD0H2gKy6jsKHqt5opvM5CFSMSHm1zn8OLsVNDSk5Gidb0TfYObAd9JoVDJzWLLNHEk0Hx2CtGF6euG1tOAdpbnGODQwpDyfpXf817Tz1Woolg==","","0","2023-08-15","04:53:57",""
"2023-08-15","01:54:06","Horário Padrão de Brasília","QR Code","35230817604918000142590006584111300334886741|20230811090903|9.00||Rt1BPJhFXIJmpMca3nFCmxPoLjAXwFRrOWRmcf6+iG8VAEimbq1sFgR9NKpAjBgciSylj4bCxwb3aPfC4FWMZQojEBVusxqKQWWsoxHcxzFk3/pQxmciYhWcc4qPvrf5SFYIJEPE83meYmKjqlZ6zISNedjystCFBJin/2ffCXHgX6UkSU0TmewfQ0pMTCCYRvZvyqIBNI3I+SuiEHogucLgsYgytuzgTx/4kTLJWqR1g/NHmLQe96v172XswgHvL+QA07uyENF2wmjlXaJHc+LZJ6IgzVtuSeHVqToPaOVa5ylTeh3pPbnq25wO+BfODq6O8lJxa8Cu0knLNmB70g==","","0","2023-08-15","04:54:06","{""ec"":""M""}"
"2023-08-15","01:54:11","Horário Padrão de Brasília","QR Code","35230817604918000142590006584111299864436460|20230810141204|9.00||ocoU5QcwS1c5WNcvIvqglJVQwSMxr18qQqf+IV1GE8uL6x7XiMTPa2gNnJAToXXKuWbq9VvqB59PR44+8i1u5O6prUlc4CigA2zlo15V9tCx8sl+HwdswEPbjcq+KoJi0tGpJQdoVfIGlQT52w3mNvV13IYHpv3op62Z4vqeMRXLqGdn8oSWf1KSrqyACSYR/OTqHefQ+lxNx5ynXoRZA2Tos/0csez3Bx5FDHTEgrQ5qoxMQSOIQah22TyRn80vcFsneoAhfNL7yfYWSXu2CIM+fGQzmP+kZo6onWfiKOsCjPApNHhJwLi7NEtOtiLNpSBRnWGGJmBc7AIXpFh9sA==","","0","2023-08-15","04:54:11","{""ec"":""M""}"
"2023-08-15","01:54:20","Horário Padrão de Brasília","QR Code","35230817604918000142590006584111299926629186|20230810150730|18.40||ZxdBcXzzM2rs5HSS4Kmkg6h2xvUldhkIEUAPJuT30NOHEeJGPSLuv/Wzw0pgDntYDfkkUl9v//nvvbtLGkFR7rsLdemTcbabeVgeqZ7ObWynFX5k2mKbPb3WVTJRvb2layKAkJiqctVDu8pjA/zoU/j3NOvWyS3fSNsh7FG2FGk61lCnKRBT55zf+DenksPjq072DiHMfXAQFtXKAUUJQMhF7HLVqLJabC2depRqCQXhKL/DYoz9jTQAe4VQivsp0HFLQTCClOy9gAPyW07mfj1BdRZu+j5x/GCkfFhmIZh6o4Bl6Inx72l1TR3GaTMXXUc+FxcbU6uapvBRZ/LD5w==","","0","2023-08-15","04:54:20","{""ec"":""M""}"
"2023-08-15","01:54:27","Horário Padrão de Brasília","QR Code","35230817604918000142590006584111299932114494|20230810150831|12.35||MA7T8SPscjRsXKXOXdSyhOJYdbXWEp/NfyeP80I0JcytNYkAUwM3M+khjrPQjPogC88plH2oCUjwBJ8/shjdgi4p67PwSf0ANK6Vs58U3+CEhW7cSeksNwXrBCGlQBg7CBbqhJrshW79SIiVN9m7qQt8V9D2FCrYuVy0jGbSwQKz8nShHXDn/ycnDFDh18zRsVEIxefpg54g+QWYMb/TVRO3f3H2A7esz1lUufdCpNEjvCyQ+F0OdrUh+oocLIXBUMHUB4Z9miRxM9o72NYOVW6tpGUMSdFk1z9qiC1Ga/N3WKklf+zZUcpsRsa0AW3WLXtEjDYyufQRiSPbY0/xrw==","","0","2023-08-15","04:54:27","{""ec"":""M""}"
