"date","time","time_zone","format","text","notes","favorite","date_utc","time_utc","metadata"
"2023-11-30","00:02:00","Horário Padrão de Brasília","QR Code","https://app.alamanoqr.com/iguazupatagonia/","","0","2023-11-30","03:02:00",""
"2023-11-30","00:02:23","Horário Padrão de Brasília","QR Code","https://forms.office.com/Pages/ResponsePage.aspx?id=Lz_al54hjEuMHzgxNWvHbpyhWM--085Gi9hjscuFR1VUN0JZR0tWNTZKVkxTMzdPVzc2REhZUkdMSC4u&origin=QRCode","","0","2023-11-30","03:02:23",""
"2023-12-02","19:15:41","Horário Padrão de Brasília","QR Code","35231207128576000692590013255250100615823354|20231202183100|258.67||iDBneugq3NRZdikwvq9WWpOuXbs4Mpwr0PspHwTUer5VLOOFSXnlnc/FofUbe0K0Dh/Q6QgNCSW+tiU84xxKMIZGT+EM7P1i72r48KHKI3LVgrLPeT5EAM47+04TUK0r6llma4/e8LaTtWFUeVcKBZRtmPNXXjg1xOBTtjiNGHceunQHoMKEGiEkDwCbnxOqNy+N3387qG8pdixoE2Acs9LlWYoAlUudQspWLkzlVYgC2tK7jF+4mVOyEH2YvstgMkZFqOcYDMSKiJJyCb844SKMyz+RlLCGLsUXWa13ZfIyG4vvBqQNNf2IWRZCR6RPubDYDTUQcDwlKwxkOMUqLQ==","","0","2023-12-02","22:15:41",""
"2023-12-02","19:15:47","Horário Padrão de Brasília","QR Code","k55DiQAo98kGX+xM1+5AjVf2yEXKsHYo6uvzVpNtlDc61E92WsHpGIWXy=8gaylQnItOA+VbFQh7dMSkIoxdFSGqeI0MRGgA1ssZGC=8IhfBQaDR93Y/SPNaXDj7L5EJd46QAF5B/IwXGBS+opsE+rsFMNCJQISAwAh3OZ3GLWa3eCqvT=MaR=S4GlLvxhLMMC6rTKQc0Y3oxJElk4PBd06ptE9VZxE78qPHtzeQ9VFU9ihNUrIW7XhqL6WTK1gN8/UBjq6Vv2c/hCBiYBN9wMqC/jUT4eR9CQ=YbI0zPODGHQeHgHBlvtvgo=zVMv+SJ95y+09LxHxrH+m+YuSzffsr","","0","2023-12-02","22:15:47",""
