"date","time","time_zone","format","text","notes","favorite","date_utc","time_utc","metadata"
"2023-05-14","20:15:26","Horário Padrão de Brasília","QR Code","35230451832046000612590009623420992193351644|20230407120848|58.50||njeR3vHFQML+7wlwbAaxznalqqQ7zriiisX0wZnXg6GCP5WaaYy0uzy2nGgVxI42mNEL7h33buTmZOsqHCyCs2yq5MAbyO+yeK7+ghWPhpahECxoUG/NQbmcIz83lTvOipw8HD33yfO1IJ1Z/GtThfPk0GsLJ3ywYIRM0Bky4kfbs04yQ2lmoLEO1La0G7oF6YiBFJZ9B1YFQ38OYzNW4fcWPFMXDix1Yz2P2o16o0f40OH33KAuk6NZoMZGPEBRTY65ksGgXb29y6a3JHYAKTABdFfxZaOWvpvfBCFpYr/cqruiYZdaSBf4tcTKaAmgFCzNKDaWAh2EvDUNrncy4g==","","0","2023-05-14","23:15:26",""
"2023-05-14","20:15:46","Horário Padrão de Brasília","QR Code","35230451832046000612590009623420993291983570|20230407203818|7.90||vXc1TaXrLOIfwxM14xdvAfBgM+lzv0GtHA5yKxKnhI/yC7AxUloFRT48nknW7K4bnu2SVTXn/d4r1ZhHDZEkUz5sD1AGAcgtA2Bdcgnm+ilAmo2Ecv8hae1lx5LB1FKaJlC2wRsZUx6336uVY7B7FBJpYNivUQl8WQ0u628HYQ075tWchjTEsZ5onxBBel7gcDWBL2foxRm/75weKDXWQC9o0weyY+WQk6iu4FJYRy+D6z8Eiiy8WC7k0txNeMnsKT+ok2WnokIxaTwTEszo+oy5zipvcVpnJsvIsTR/HzjVhnxJDKWW/RfItiTJUl6cGfYrzoTkkNoP5TyiHpy3hQ==","","0","2023-05-14","23:15:46",""
"2023-05-14","20:15:56","Horário Padrão de Brasília","QR Code","35230451832046000612590001510911290487105901|20230411115807|40.00||ZruwaOWSypbnoGMYpbNm9uLRmDZke04sOwkQMkUKr4D0kuBlN6dDghVBjsPVzAEskHowERJvQOHq2oYPXH6Ovg9vgZ8ifGnBuBHnCGMCF87X+TcZYPNcZTI7VU2x6EHsA/mp3roDEvlwke956ydRs/T+KDm9RHCrReNNPCYvO6JJxfAa3+AYG8zxEW+ZgAhyX37hX8vrSRopZ1NZH51Cp/SyPIJ2OAOtxhkgmaENvFPNSsFcbZ4H3S53BMnaxNiXuGFtCeTpJzBXLUzkCczJhJ4IecEo4z95Mekj5H0icry8LjZwGF/X7soExGU+z1QZD2nre38+jTiom2OLtMfi2w==","","0","2023-05-14","23:15:56",""
"2023-05-14","20:17:00","Horário Padrão de Brasília","Code 128","0009623420984942975016","","0","2023-05-14","23:17:00",""
"2023-05-14","20:17:12","Horário Padrão de Brasília","Code 128","0001510911288468293097","","0","2023-05-14","23:17:12",""
"2023-05-14","20:17:22","Horário Padrão de Brasília","QR Code","35230451832046000612590009623420985208213449|20230402122426|27.48||NeK2ISrJu/PGJ2B45MNuaR6a9oM0DB6qU50y2ivaK0Vdc2YflLAqBH8rfuGw/v14dyaPzNBDyXndmklnNShVVFmontPldmsjtbSdmEtPTeMBOqrtgA95QLN//UAW7Q7BxB/cJ022JgAsADvIxzcQ0ANlBfVqNPn0qx3by32RsMSHRCBlFggGjJiUoOPrfEECMFdonTebvmpMFLIoubNf/Z1UmTYB6OIAIDm57FcrRuCn0y7S/wfOLKRUSGNeJYakPnMEd6hv7T6FsQECo3d59FxRLZ5MV/QY3ihcs7XkjSrdFwqGzxM7AsddNH9kKlzwYDKkQ+lV5gcFdOy1e5lYtg==","","0","2023-05-14","23:17:22",""
"2023-05-14","20:17:35","Horário Padrão de Brasília","QR Code","35230451832046000612590009623410254115778471|20230402193504|3.50||f+BpOWwNvkwqkuTBEYMiUnfRtRSC/Seahe9394vICJwwNYsF0PD1oIckqAGLLy2/SdrtUPwVC0TK9QxS7MZ0wHldygaSP/4eYHXw8hWBB9sUswWfkpUwjUV2+NufgW+qPAf2c3P0OFDBOKvk8ezpUUapzIEh+Rm381fyjMu0aNJFD2QR1IhJgR/DZQpQE2nF3RChUEhbTGi2CGTArffcwvIy7iHzpySVBrOMKO5o7mZmvKX0fq5QWb/t2EgJ4xVg5/DCOormhB3h/lhImesc9TPm04yBd1BSfaZMRPWngABCMWztWVlBzoaJG9k/EcTaPZG2AW80Ujs5QE70MHKWPg==","","0","2023-05-14","23:17:35",""
"2023-05-14","20:19:45","Horário Padrão de Brasília","QR Code","35230451832046000612590009623420985519143523|20230402164305|6.59||pNu6uR9+sF+HE7krN8Ps+wiurepH8Kv3Yij4HOqVdZIgsj2SBr97Ovtw6XAiYcfMKseQRKkineM8OzM7mO1ksvOKMlcRYOZcE8tuHSQbmQFffA6bH3IfU7EEZcOl8ZTw+INOsIWjs3bm6Xg7Y8sshcwanS2ztiCOK93NQqvIyulF0yRoCg9EXvYhGZtkOFgXMfoPnGfWfNtMSvR5sWoax4fyjxpZu6FQRgyUSq7lNgNxaLm/v20pytCcRy5VVeYSOnNJVKXVEmvdTvXsli/veLAGbzztlJ8jSv6gwL6PV2c2u2t0MsvypJoAoRUls2/YXRf4gC3Bp+vnujUY/4Jaug==","","0","2023-05-14","23:19:45",""
"2023-05-14","20:20:12","Horário Padrão de Brasília","QR Code","35230451832046000612590009623420995268344881|20230408200947|39.75||Q2w0QQP2sa0J1M9gZeJ9onD/Owa+i4ZFzWjrfK2iF4bfE07yfvpajllTqnoE9oMRrpnb8+OweTir3FO+UDBY1IxJ/O+2or6y8V6tzBQ1JmrQB8jdUHwQsZipdUrs4hwIq8TJbRny0WaCE1pa6lTkPwlooNIndAuwT6yx8HLEfmeWR6MPFpbvUmyixn7kAoO45Jf29uUDdRAAAFOU+a9AFpNeKj0Ry2BxGPqYsdyGUF8x/nyc89sfeHSyFUJ7ehMgvibARktq09t/h5L3f221FoZGII2Jy+G3rIQFN7jCAQrKM9SRW386ApedY0mCRfQnqNBQWetVyj9BgpDdyn3G0w==","","0","2023-05-14","23:20:12",""
"2023-05-14","20:20:29","Horário Padrão de Brasília","QR Code","35230451832046000612590009623420995055483493|20230408183047|29.25||joP48tMf4hqCiAVDfsYKGsizBKNme0FxApVdUWLxpO7gHabqHCHuROgUlEd+zI5DiLC7kF25sZspVduRdxxrZ8fIw/iLy4bHzTtz4AzJNw1KqoIMsObXimHtKUN6n6bW8ccdVerJP8VU6clQ2cHfvT+xteYD8/j50dsd9+dYGpJkFupFpKsoueu4I2IuU/cKDNPEUYUha6ktt5GCElA+yqC+FHQORto6fCvqd6KbKQIFdHSXnUKkhanaDZKK08gf2eIZmdMbs1A4SLhri6IM1xOVCNByBde5NZgVCkYHnl1Mlsar19UOqGcHglN04XRuQ+aVpog/GcM9HkTG+rJgdw==","","0","2023-05-14","23:20:29",""
