"date","time","time_zone","format","text","notes","favorite","date_utc","time_utc","metadata"
"2024-02-21","21:40:49","Horário Padrão de Brasília","QR Code","35240217115090000169590006245707567559190381|20240215134949|100.00||7+tRQmfS8Rq9gLccpAQ/q6dzMgvjsNUd1JXCOLMz00fis98lCCnPvEhbpdl2fDpHM3R1NFhdEaECNTfqm8vj5dC6zjli7DOWwGQ68kNQx0xw3rUMLirCMxXQVQVgVVMW8cE7Y2b+mAUx56NJleePoTQ/ktg5+KA373SF7/UKMmpU1VssNeGG+ERizxheF8+H7J/TXwXIXG8mGIAAIyRuuAvmZrv/Vp/NRBco/LeJyUPqpzP+XLrQWTRR1bbmdWW3ncvh7Vv9J/7qsb5WsENf3d3HnLL80OtTbGavKxOHNQtaXbuYZxdqqBcfM0pxa1ImACXVlDDZt+Buzcz3vH0tZg==","","0","2024-02-22","00:40:49",""
"2024-02-21","21:40:58","Horário Padrão de Brasília","QR Code","35240217115090000169590006245707567546272457|20240215134644|0.30||I7u22OnqFrg955r0SibIgkmB3jIlUq8tGLtC5/1JPsXCLif4f6JUYXT5tHw6dVfEFYnr3EC5WF/oGGA6tE+v5u/t3CswkYwJKdqVLjJ4YnLGw1ucUiXHZUfjAGBy/iL7UEK9OwR8u9ATuek9+VR5l5+H80w4zMXanIptlpkUcaNQjpo5Uso13bnfJk0PyYuECvSAjv6Kip7REslPWQ/cfdDut2Rgl0pt/Sw/JmQrTVGEit4Zsk2lPGOmU4RstOBug+xeqiv4DLjOhjeDbVK7pp8Wf0NTODuU8vMq/PC61lhCEPaXJM56BgfWGdmIgpVgT88qoemlMq0FZYPv0jvgSw==","","0","2024-02-22","00:40:58",""
"2024-02-21","21:41:04","Horário Padrão de Brasília","QR Code","35240217115090000169590006245707567490151030|20240215132747|84.99||fgUNhMzQzJvxdc0tf8CW96FQM3EnOenthRfw+4x67oQ0vnl1AlgYAGOCEV1Jc4TxbcbFpBteCqtH/u6zRGl0+TfR07WBf2e+HHN7+N97ie5j1o4ZarAf79PI1Y8sH2qew3CXvvS2Fb98ZfA0uCw8XZtSZLP7duadFFdgGiya6ZNPxpQbPUDelO32Ivkx852VCqlZ8c3APWs2uJQfKKZ8a7ldLPF7nW8ovkSc7WFHRJhq/Hk3Z+RPteOuAe+DRnqCK85ap1PDkHAAd9nwRRv4qqtruMJJGzk5P+RMM66eWLnLEjAxP8/2KmT98/4oYUzdaMtRBT/oW2jbTgN8Mi/9KA==","","0","2024-02-22","00:41:04",""
"2024-02-21","21:41:15","Horário Padrão de Brasília","QR Code","35240217115090000169590006245707567507811997|20240215132832|15.20||72HFspVatAm+JO2zd9Die50yNvs/k5YQqsMana2edGDWAA0fOiWyxF6JT2QqAaKvN53iRsmxgeW3URE0CvyDLwnJqZukLzY3FZJ2FufXGD9omY66nmO6WnSZOkN9a8Vd5qyhCQCsdOhWRu9K/rmhacU5NxtjHA1aAx1LdHMZkFxmKSbkRalmjdMn0j+GwUY0ucKJQdpP3W6zT97ypG0Cvwk9zzFnrO8cF9EvlxG4mcHPV3P+z8K64eg7EYbFjydVhthjFbINlltQM6d/1xjCiGaeQhy3oBMNFGrMqeg2nZT3HcTsg+VofaXqBS4mfteph1/pRCxU9FORpPsXDP4ZIQ==","","0","2024-02-22","00:41:15",""
"2024-02-21","21:41:19","Horário Padrão de Brasília","QR Code","35240217115090000169590006245707567461903835|20240215132127|30.01||DPiZnpcDCHYQsMFHQJiudZKc8Oyv/pRujABGGr9bEGemPtf3MHN1GvtpVzMnXjDp4IdRnfkR0ALfrKzdPOci4jGB5ZDe4En5R95Gtgdab0jpmUbX4a45n3+EIenSy7UbFeuJmTGD5NMhj/uIpJJ+QalpQtKeJhwAEXnEuFgjSOimuDGFgU5OvD+O6qEjmBiv82fUZhLTcK4gmlw79GUjlQ9EsFFrsKLMal134Zr4WbiLlO7uZshOpN2+y2KaIySIljDWdnldrpjC/nqnxDrYJXV+HHSjJX/mucCtwysJQVqHBsCBIHPuv6RR37tthlMHXZRQjwK1OCXuK0vwSTXC+g==","","0","2024-02-22","00:41:19",""
"2024-02-21","21:41:26","Horário Padrão de Brasília","QR Code","35240217115090000169590006245707567445521893|20240215131310|5.02||gUGSoqlrRC+Zv4FM1i3tJ4JowFxJT3NHrEkjQQ7xBiqAFk67MyyQPsr8uLJtvQFA2iRG+wjiJRcuw2MCwD82zfALuh842k2J2AWrIEI5rHjlSU7/WDUPFTXzjDFXBDEhJnK9+hRrg/UHp5eecEz/CNiHz22HpoO0dSlwKE4760SP3+/3eL1oTzkyjj5Pk0BEMhjgZYi0HLNs1MSwPW0NH/g29XO2G3kK8tLPI4cMf4cYybKD3CbBeAXN+g1B34XmTdJEMioeNAqYYvC5ybK8sxPWyOBk2HPPeDsN/y/T4YcB53sChOCknBaV7gWIPN4YNw5cUaVyhNZZkwo1zaVgSA==","","0","2024-02-22","00:41:26",""
"2024-02-21","21:41:34","Horário Padrão de Brasília","QR Code","35240217115090000169590006245707567391621011|20240215130651|20.00||p5KT+XILSjddvo2DYBzocpoDbXMTPHP2bRWwPY/KfF/faN80HFeNbN+z4O5FbsXpDiSm4DnVyszFlsVialOcypqllsSYQGTKOm4ltiB/QTL17Lnnu+UZLt4bSnIM/KD6JP8wSJiBoyQiV7Rn9c19elhTx73OYjctgg6APH9Xy8oHeUXSGM+DpR+g18umaCdQ3gkSWNMtX2/Ibwyh8VbmnJCcq3/dWgYmAqlMLHN8wCGnp+GngaHLnF963KQ7b5xcMDuG+vSmp9anCtuJCndGMAdyR2lhKLpcNLmeGDMhQtZhOpnkXxZvcNIFO/VGe6475WstXVAhEfk9YIouwpETPg==","","0","2024-02-22","00:41:34",""
"2024-02-21","21:41:50","Horário Padrão de Brasília","QR Code","35240217115090000169590006245707567391621011|20240215130651|20.00||p5KT+XILSjddvo2DYBzocpoDbXMTPHP2bRWwPY/KfF/faN80HFeNbN+z4O5FbsXpDiSm4DnVyszFlsVialOcypqllsSYQGTKOm4ltiB/QTL17Lnnu+UZLt4bSnIM/KD6JP8wSJiBoyQiV7Rn9c19elhTx73OYjctgg6APH9Xy8oHeUXSGM+DpR+g18umaCdQ3gkSWNMtX2/Ibwyh8VbmnJCcq3/dWgYmAqlMLHN8wCGnp+GngaHLnF963KQ7b5xcMDuG+vSmp9anCtuJCndGMAdyR2lhKLpcNLmeGDMhQtZhOpnkXxZvcNIFO/VGe6475WstXVAhEfk9YIouwpETPg==","","0","2024-02-22","00:41:50",""
"2024-02-21","21:42:16","Horário Padrão de Brasília","QR Code","35240217115090000169590006245707567336829277|20240215123830|100.02||sE+8tN/YBmHkWl/Uf7MrPNvsC0uY5UDw0vP3z0jGshkI/JvNVMPbnHvd/s+FzQWXwaQmwh7w6dp6MSlOY0X6rLFAZcPM/rK2aboR0dIeQQRAu7xzAn0WlKZIMOOds9/7YBjNa00SJmcSGXPr8kGmlpoy4fcVnxo+arIk2YlQ7oyEkNYcPkrLQyN7a2qkNIJN+UUIPdeXqcDaS5kF52zpVEWq0guvybZj3WeW97GT9yE4S0YlcSWCQW34ELpLJhCW5nSGsj0k7EgHHn9UgZeR79QPO7nWWPvmc+tOQ2Z6fvQ8JONJDzv7VlSxDR8XQqqiSiypjot4QwNYOYVdfCuXKg==","","0","2024-02-22","00:42:16",""
"2024-02-21","21:42:28","Horário Padrão de Brasília","QR Code","35240217115090000169590006245707567320049536|20240215123756|150.00||adjKq2DvV/Zaey1Y6gpPGvdByMZ12aA/Tm0AIR0ykYlDQ7SO306jJQofkm55LuXYC17ba75trRS26kPLmR8l1fj08vuelomFD1zi/Eyv09e8gXEb28l3C/mdkc2TJLmrLXFXNxRf81P6/D7OIcuY0Py9ks9+5z6ZZ4+IzLMO3faeJ5Ce5PQGCpIWP3f6lwo2iOdkmBrjr6QyNzuZp1G0ZQPsBqyI3A5A6sr59KsvsTqAQqN9rxzYykydFPb0M/e9TkaVgFLQzW8yDp03Imxz+9Iu/gbCaJ1Ebae6AptZgHY+RKpCpytf9zY02AXCBMoFPd6/uMqLKF7RD5q7NneKlA==","","0","2024-02-22","00:42:28",""
