"date","time","time_zone","format","text","notes","favorite","date_utc","time_utc","metadata"
"2024-02-22","21:59:16","Horário Padrão de Brasília","QR Code","35240217115090000169590006245707577904028463|20240217214919|27.52||cx95WykZkFnC2e2ph/iECNRi2a6ok4d4jOcPzY0mCPv3HVMeD1hvI8/xeVHauzqVknCQNCfCM2tl50ixKVifRo2Aw2+kJBwtaflFq/FGwHzvV4s5d+09ALpDhhdEv7P+JVPOu9ycjOVKInyuOBB0DNzV0E+pztPCmhsV3JibiczUfdkYs6jCyQy7JyKJzQf/fOx+t8/854ifPPON9oc4w/x4D5qcuzW9bMp8jD6/Lpbnyq6cix64ThIvwT5idPmzGkGQ7w30P9rXe6z/zgS2Y79V8ufc4gKp10PV7S/EU1vUQGGLiuPhSRDBSNO09wC2mW+9/k2KinQeWebpOzkzew==","","0","2024-02-23","00:59:16",""
"2024-02-22","21:59:28","Horário Padrão de Brasília","QR Code","35240217115090000169590006245707577890590275|20240217213944|41.00||idZfytnbH166PpCiC79XCdvGNY3BzHVV3KjIBu23OrRK93pfhPzrvZ3adxxzQGNhhtrlFVkSTuOB/IIndwLiJya9aoOth2dxKVPQs2tWiEnU4xwSWSdmgtn0ZYIHDTRr2uXYqbHAfOApnTB6ONPJb/htl3q2zc+kASZ6ald3wvqLgp2fHlpwsngSM/2ytebvO5JKKz1fqLYEHvKvWuGHhmPVSlYD9rRd0gjIEPD1HpYK++L+1uF4e4/GoGydQfGomiobL2kMl2m/Q4dW4glUNgnJL7dFZSRR0jd9gxhIJRS/Qs+zcTPnrfFHWHmmUTBj2QZa6SYfSiqfubHGsriDaQ==","","0","2024-02-23","00:59:28",""
"2024-02-22","21:59:40","Horário Padrão de Brasília","QR Code","35240217115090000169590006245707577882302088|20240217213848|50.02||l1g9W+1u6oZtl/Eko8IdyTW3S8WzCX/L6pABn0TNT84z9M1aJpxU0PCkRukzV87YYct19ZlZnHY9iBhmsD5GbwqYoi8A0/qJETRKLz5rKTy9fAVzH/CL+ZKZF6KDEWUD9uNEaWEs088pDHx0bw4yzIdNZAozTpyTDwJPdXU3r0lqwFolonfnod9dGadunONSz6ZEqshN6MY22uKhyx/j9ZLlM5pP5z5LcK+Y1ttvyLwXEiSI3Ze3foWOthonFqXp2vWx2Y3FfWrkj/FsAmiUaV3gzREv/b6YSF/Mxyh85gBaYEhwhOE+lQEdgm0z/68QKwvVg/Gd0DM/1ND6OF6cKw==","","0","2024-02-23","00:59:40",""
"2024-02-22","21:59:59","Horário Padrão de Brasília","QR Code","35240217115090000169590006245707577874872865|20240217213538|30.00||Sh6QUASOXPyc2+gsiPO7i1+oeFAjhqQhFACEyK0jH2wTHv3U4tZ0ehpQwzJFiTNAxxx05i3XBrSHCN3hgg5FBArtMJ0aPh5BwSOmPEzIIK0NGzAfDmRZtnnqsaZzzVeVVo4rLkF9avYHIDbQiW+Grx4FZHGxHu3TyuramWpPXywqBm891fVboGa2Yl+LYaRmkduS/eI94EBAunuWoCuEoCwb2iaCzZmrH6q/HBTN4Ah86pRVky4s7p94wNuTiZ5QYQiAyeaZpPBWNN6K2UL+AuDiatHsqqQFuVzVku1qtbagWfldYt6sCR0a+EZelTd3PhssUM9aA2fMJAAoFBam5A==","","0","2024-02-23","00:59:59",""
"2024-02-22","22:00:13","Horário Padrão de Brasília","QR Code","35240217115090000169590006245707577865188990|20240217213328|80.06||PsOZDPfpjlQnl8K5fjxfWFK8q5OG5O4eUcjpkeOsill3erv8TaH244UmGe69lyRAzVX/EzDkRIva0U7Ffo3Kas5hTEuYxo6/7hTY3xr/+FfrD9Y/6Q2J/dATOXYmaACUYSMRsV3tcAjEOj98GKeKYrJkCCYRcXXCqhPV6iV+zn5ntKBLZJZMow+61bRU+s649zcCkRjTC4+h5n38wMEtPE+DoF5j0SXhQUdTdX3yTXGLAzESp142Jgpk1OL+Ov7jZsSZknDtW0Co1fAAAbEaw4BhxKMXV3/nynAwEDsKWQWUewp1x0vSVUYFHgpe8SEZCtbm8+bsRTPgP5RXn/TIZg==","","0","2024-02-23","01:00:13",""
"2024-02-22","22:00:21","Horário Padrão de Brasília","QR Code","35240217115090000169590006245707577855664764|20240217213152|22.50||wt3pBB3narNc6FcTkbTbe/akUkvU3l1KQiwZ8+D8FRl+C804PhV/fcdqy047dk+4BQrjJ1TYJ9lZyu1cXfNkB17sayijjfM1q/RmC+5Y2M+LjxPkYtlLa9KuQUdM08aRZtXPlyuh5qzLHvsGZS3k8PSdU8VCVIU2uZmcM6TSDFTFXF/NwobiHqtJ4BDioFeWYNqmAZG8h8xP0ozMAns3o4q2hqA/GHbY2Ky7qfQTuJnzfwOGwehf0yfyZomEgrssOvCAq8Wdx1dz+on9AHDXddf/xKw/iBzhYaEFZH1zhdIuEwTAyxL+UW4LBIlcApOzxRqSa99Ekz/aSXL2asPqSw==","","0","2024-02-23","01:00:21",""
"2024-02-22","22:00:30","Horário Padrão de Brasília","QR Code","35240217115090000169590006245707577847255680|20240217212753|6.50||lnvi1gJ3ppsGOM+Rr1Y3DpEWrMUCKjP4wQOAPfus1cv776F/6GHtEk7r/BZ2fIOYQpU+V2qVX9mYMGF2r+/scbEovumXKHZSabpbPOf7X1Y7SylxC/ctOV1Z2exyidTcdYvWpgeKDDAPkAwo3SWZ1RiY46kHyxszQH4Naar8NVXKoGFxgZ+CLwyE5IFJmJNHuAP9XO3HMg4NU8A34j5W6vNfIvAuEUxYsxYpGNtjcVwzyD9M1N0zJ/XP5bittyCcbrgs97O2Zh2kPsnNIYvam9GA7IS8M01B3u/8SD+j/K/eiA+v+J2HuMd2uXWYyaVSNWoN4VgYuP2oI7Hu46unMg==","","0","2024-02-23","01:00:30",""
"2024-02-22","22:00:50","Horário Padrão de Brasília","QR Code","35240217115090000169590006245707577810320012|20240217212140|120.02||nvjSoAp17mCYOr7SBtBqFcHr7eOejCuzH7R4geOU48Ps9APBacWid7lmmvL3eWDWVRIRaXxoi/hgEN3d7+19um647lZhUUQd76ZwVwe8iIpaJxeoKEbmMb8FHetuedM+t2ZYfH9xWYD8dFaj+6M6KgM8LhegqOZx9O0eXiAIyVRWqt7PUqEnA9LuusgWUgy+vDFSRCL3Hzn0cEfNV3FRqoxcjWnTBItUnN5UMQDoBEDSo5xpUG3GbtWn/7ds9M8GmfXhv+TMGw9KM1zs6kIZvlJJjR2WDdayn2z1a89eX9lSX4ZTBqJoBD42PcgLBWeoHyrrVTzCNXoyH4GBjEiuyg==","","0","2024-02-23","01:00:50",""
"2024-02-22","22:01:03","Horário Padrão de Brasília","QR Code","35240217115090000169590006245707577788591187|20240217211145|45.04||p1KzUPVUSghzzE2BZL/C9v+eix8h/N9sPzLliYceliA8L0m/awlmBzVyeanyoN1THRSJ00N5SilnN726uFXFJZRFbG/zLBumvo4HARo9DDveFNaDlnSDbvNY/HAJR60/WE9cGXT/xm89AVYAz5CGgE3Bskh27wwTorbNmzSV8HoXFdIQf5NmvIwDL8l0ZPQnIFAii0A3hOBelX5OiKCSGBNP7Nz0bW4vXZwNC/5buuBNQhEDx4CDYi5zL7JyOdsvw5qKvQQXyczeac4I4FkEkWxypE/MsgN2FeY7M440hAaesiNx3pREMhgV8h9e2V4zuj+yi+4LwUoWNIaGpKmFzQ==","","0","2024-02-23","01:01:03",""
"2024-02-22","22:01:12","Horário Padrão de Brasília","QR Code","35240217115090000169590006245707577759437418|20240217210902|13.30||MV36I3H68QkfXm0EaT6B1LdOsz2ehV37WqOmE6Hgt1xAiKQJaE+GQuiFl53TGA2VEtIc61yeHCbLrf+F+AsWIA/v+9ipJb2xvX02GgTXn2vKUEd1o2kA5wucDLkCaCPDFh0OirsfftV9Jrn935xUA4VyCiV4r8M8AJSEDwHGT/T8xrmJ2oLK3+Qu1HABbRSWz8yeRXxHM5gdKhxs3n4WTalaSR3WlTJLPUQhQI4e/XchlNLOvGsJIIuwwnwTrbZWfZjPjQVQCTJcPfIsJtyPBjPkQOKTfzgkWhDXAWF5xnznanGsEZf3xxQVM+RrosXgslK7eXCjEdARiSSj2XM1MA==","","0","2024-02-23","01:01:12",""
