"date","time","time_zone","format","text","notes","favorite","date_utc","time_utc","metadata"
"2024-02-09","14:37:19","Horário Padrão de Brasília","QR Code","00020126580014BR.GOV.BCB.PIX0136ea14716c-883b-483c-9a16-36f11cb10db152040000530398654130000000130.195802BR5913SANBAS-SABESP6009SAO PAULO622905250910693358297532921669863630414BC","","0","2024-02-09","17:37:19",""
"2024-02-09","19:37:13","Horário Padrão de Brasília","QR Code","35240103618178000199590004729633946998971907|20240127162753|5.40||mMbJZaEFhSSwvHjWRrlJlnhtjd43adIH6NPrMoMiTXBgWVwDoz3tQeZuE+5OPs37gaYpXCnvbCNfq3E0Z3CmewbjVUJHg8CEh6ddMI+cQGJoXSbIbeYPbs8VMdOPjYRy7IZOQJCau7RW52mlk3XVpnliuHJizCz9Oy94i46BsXeE/RbtVSYIHz8dCTIrUJmAwV/35okWPbpNX68PrFwrnr4sQN6rX5f2mQs5PsnzzL0Vv+GiuG4aD3FGxqZ+YwAaSakLhUemUgNbwblN8kYf4WTRiJWnuLGQNWxnTbblwNlQ1e9Yma4sAM6+m7ybrxwD99ha2Dkf+gUjpqlmXOwcmA==","","0","2024-02-09","22:37:13",""
"2024-02-09","19:37:57","Horário Padrão de Brasília","QR Code","35240103618178000199590010322521877382296716|20240124194158|96.14||FXAZ678YIZWF/MmYchFBsvSlo6iCZmocsDbfCheJe0ZvpLsQlbLE6hszeUdWrf1PJP/xMc6HyZWEueLmHn8zoRc7lEg4bSWSt/zHz7g0gqTcc0NuFf7eqB+MrwprEgheHGqBYHMv5b+5aVhQ4QbzoqjpSfSZM6F4jrQCWI8CzRluN/aLRD/XQ1QJS/EcWNllu/O/ltHlH8jR6aPBuhuO6oc6aQKwLk8YyDPsqblZ3TRdzcBVekE3YMCbz2Z/KmVhCYG4RT7oCV1SgTApi8EHJjHe3S8ycZdggY5ZeCN916b8Z/Cf6zXhZ9jFLJYQkJfZcZgTzu0E7yNnb7H2A9s5Yg==","","0","2024-02-09","22:37:57",""
"2024-02-09","19:38:05","Horário Padrão de Brasília","QR Code","35240103618178000199590010322521879123392570|20240125175207|61.88||HoFfftCPb9g1Bxe7g648vdtUoiUSaiNAArWmcsxuPRFCDbo8WVAt/hEFzSQzbGdvPUuhdA+WeebfUS6lIPnT/kS4RJoGKvOTgN6kiA0L/xjEVUSBTb2EHWQVkMtcQ4kkVR/t/2s1u8PDAJab211B1z2qcAPGkVEvq/FsUHs63SggIwv5h8UOhO7tatgfoQmX+ODcBqjnS+5JJ5MIUePan8BaP7nE0SK9IoktiXF1N2RHR8jJaQWG8vBPG4geM7a4KPd6ezEHmxckXJO2T1SzCi05MU8TSWBdzzj4Awa3OhJ/kcYBYqeV5QH6xlkJ3COxfH+9s2mwMhX1ttvDocx0TA==","","0","2024-02-09","22:38:05",""
"2024-02-09","19:38:13","Horário Padrão de Brasília","QR Code","35240103618178000199590013400910503140548252|20240125134734|74.85||xWPplE+103BJqZeUzxMm4ui6GeCwZ6f6s7M+RxAiqR6qlfyb63b65JKI8SJFZZmTrg4ZwE5m2OlSRngNVkLioaLsLJtP363PCXZbSMfgESHO00/jm/VIp8fIWRDRnxynF1YXWvgUURoUtBwQTC7XKZFv9gcYodmDfEnWKMpmh+y42ZK9HGYVp9ISv/L0+/5kLy3/UK5vABHQrOzkCQ+M3y0IWK9tMqlF6htsVAB2zbznOta+FiVLvIrA0jgAUAAOqL5M7VqA5g3AfIm1iqhIUj67Joe5Yo/R+3hLsCyIn1MPKw/ODiITwK4GLI5KU9pu7cEnWps9DuOJFNvCmmrh4Q==","","0","2024-02-09","22:38:13",""
"2024-02-09","19:38:25","Horário Padrão de Brasília","QR Code","35240103618178000199590013400910503104591127|20240125133117|55.48||ugJSMGKy+C/rHmne0ujQbua/SRRzZanoXgPgPutnGOQXXcIvtGV+zPBVRU8d82jHqSVZXIQWJ9X6BxakfELfskGrC1/KqxnNxQGrpiWprzBUx3dhR2ZiSJ6oT6TzxxG1lWnd9a99iyqeHADC8uKbvzTuRtVJDH0254XSdEyuURbC2s/ba3mD85nAizzB2wwAYeYWiqiM3uKbSqGQcdL8Ud9+0OzxBYlDXU7eUdRhzt4JwJiuMLpR7tWi4oIKDIQLWimFIl6s1Q+gmf60LvYmQRzA4ddfG8PVw/sOXf99tDlP3vrAt68F/TtdRXAEyJCF6hNCBJelI7RM91QrnqYG7g==","","0","2024-02-09","22:38:25",""
"2024-02-09","19:38:46","Horário Padrão de Brasília","QR Code","35240103618178000199590013400910503012782287|20240125131122|92.92||Pn3thfv4wv6Kh2sdkIrqyw1aGT+goz/mH7XP84axJ6XWZ8sYiwvtL+xNgto3Pu9saTXHZ/kR0a8hzpMXr3f4jwX/0wEZ55xEH5m7bOwTKN7jUAHNPlRaap5b8UMmMqcCvLAqcLgdBGzVkdhysjwKgS3zVlECe3z7Rw+U/xcdmBb44qJAw0tQXmGlItAL2CsecP8SkmG75GwxEebRIXpCsw0mpI5BzPma7JgpBr0BFhPg2lY2WxNghiyuX5WlPIq6cvzez0IR7pQnzrrl7pu7CosZwJPzotEQ2GnntnqfHc0hiH/eByPQMaf8SM+2m+tGeDmCVKKBryWE0nCfZMMAwQ==","","0","2024-02-09","22:38:46",""
"2024-02-09","19:38:55","Horário Padrão de Brasília","QR Code","35240103618178000199590013400910502995577676|20240125130509|30.35||utbrXxZzgnTnJiQNUNAT8UhwHSv4Swzuvhtvlyj8oWw7FAVGt2oyBylgmxqmhrk/kdnyqr5VC+0iVecvuxd/tvBMpSknv0ntypErwDOghpEYexV22a7Nae5hr0bjyohdyaBXA40sn/qRRfrvh7fIs6Hv/QWUx7s9iWz5rjJRZv/ER0WmM02kQa+RaMVQQjy77ln+mtb2WdSa1EWU6eR8fG1lzUXbwmmg1HgdanmzoLZY4oxWS5/dmSNt+Jhou6V3QjewbbGV7jU1UL+LPNjVhExPOHl19pPhTZlkLU65WclXbVaiGcCVjvtzojpMDn+/derAI5BjnvKQy8NDTc5oIg==","","0","2024-02-09","22:38:55",""
"2024-02-09","19:39:02","Horário Padrão de Brasília","QR Code","35240103618178000199590013400910502970779984|20240125130232|20.70||QDHXnWj6CgekOzOIXQM7+Na+kdLtQHWnCpavDi5qEBfBXvfztcaDRy6hMe1paWz1+F9lolFcoPsPTJ0F73rjHaepsiHdreW9SNWcz+j8MO0ZZ3TQ4lD1/gsaGDkMhsO9pISZ3a0fFHyN0W0/GVC5r2whBXKBm+D2a7sQXHvlKvQVK8KfsxvIOS3pIkzR8zk3sPx0b3BVKf/7OzKXxGq6+fOQHV9SQvHPBk4UdJfk3PP2YMwu8Pa09RkeLINdnSgQau7q3h90NhkH3tVlAegc1qsJ7sqRC1TnxuC69KgDqSFBLoqpHSJBSP5Eu9Wms9tXjXpiUMwWuRGqV9Ni6DlFKw==","","0","2024-02-09","22:39:02",""
"2024-02-09","19:39:10","Horário Padrão de Brasília","QR Code","35240103618178000199590013400910502982339992|20240125130255|1.99||AjzRmO/0rqGe5azMYBgCNMnh8VjtbLqeOy3Z3xoHQBJvdz3A4Gen+lsyqzEp/5sFSKPGS1YeMehzNkdhDf8BH28Eb8MZPyl70DHNdqxYtNN/OMW5EGoSguuYsnYWxqScYrPyLT/9r6HWDxk89vizTXxg7P0+xnB2lgt0dzixI5+Ikb7yA8DkRA8mhuf3wmhXRbW9esu9pX2nLBdzoBqN2p6fsLJ7qhIBpnmzKf7cRH0hRKZssiKuT/a2gB5JODICSi/uiJJsoib+7suEUiNqZPfqsEPb5WnNLGnrwaiaibohJn+9lLrZ+oNFktpwVansqnDDz1G9jYC3A76riQCGrw==","","0","2024-02-09","22:39:10",""
"2024-02-09","19:39:15","Horário Padrão de Brasília","QR Code","35240103618178000199590013400910502967286379|20240125130141|17.76||v4Ehci2mnaW0Bs03Fwjte2m+v6KJmf74lWCoT8yDxqEsREORKCc4KANeXAzpgvUUYEKCVPBDqKcIbRlNxjznRMK/mQ/N/qX17KyMG7+0pgMdb0fwI9cOCcPeixH538ZXjc6mfc367x7v5ca+RMRdUfyaDTss+OpLmP7fSR6/H5t+1nlBnEFCh7ilCdCdGoPSvmyuKb1pjHFX8+kk4ci1Op9wKuQ0J+I7xXc5t6wcQBfB4ylVbviNcUW//lZG4A8r8uPiaiELxwyckCE5xGstzqf2JMX7Dr21a9Nj+f4FH/EO8Pe7H3mheYJLrNiCYxPp+NqwY7LigS9obdHPc5Ngjg==","","0","2024-02-09","22:39:15",""
"2024-02-09","19:39:22","Horário Padrão de Brasília","QR Code","35240103618178000199590013400910502843415673|20240125122546|3.69||tEia2ZdrmEC26q1Vm6K478e3Cy1NOGYKc4PWlIL6cPcNIoiMTzTsm3TVk+kKsm6EQXjoXerBJLmT/SM8MRsFZLEYA95nKu5ST8v35aApHKr+YDptYBeFP33B6AwtBbe0WjjTvdVIrV/I3N/tGuu5sVSl4xQ4KwT4hARbL5DtEJtsil3og6bl75PZ5WNe/mL6CAW3pf9CsSuvOFtrhFijOlZ7MSx9Lq1UR0Oh4H4gSXmUdn4oVQg5lUhmraUz6RBZ3dwrGFuKPxtw3UlkwNkbjUpr+RQb7rhta4cRE/sR9AsqDVbf2lydcglnvTVMq7dnrt1wqwpnr4hTiOiRM/h7cA==","","0","2024-02-09","22:39:22",""
"2024-02-09","19:39:40","Horário Padrão de Brasília","QR Code","35240103618178000199590004729633948234839173|20240128090529|70.31||DAi/0+J5WSGD4dGkEKAHc3oTnczh2Ogt3snez2EW+c3PP2Sb/hmdgO/njsFzGPbAUGoc+YP3OYNcVOlEm7eFZqEOVvNF+c3jNDBpcGOC30CQOOnOR1QhwUsUqAjxDwcD7ewyCK+dXXz3ssAzsCVuRa0M7gqVpvqXwG7N1xuCzQLyTn23XrOntOu3h8nwFnCIi5884fF8YBvYtCN7kIrB9xgbBSlUnqmjTvaAQSJdfXGYZLREvoiIOo36YoQyzWyia9ah0fNa1Ib1hqJBF9XrX8YYWvHJH2CGAiwXPUESIxVz+M4GfXDOkhVKymJRRvxtXmejcPNYOclLOheEosswcg==","","0","2024-02-09","22:39:40",""
